student_id,avg_score,score_std,attempts,anomaly_flag
S0001,64.34782608695652,20.73777557908223,23,0
S0002,63.08695652173913,20.747208012554495,23,0
S0003,63.61538461538461,22.08542854114798,26,0
S0004,63.083333333333336,20.25901123529685,24,0
S0005,53.916666666666664,23.88180436462339,24,0
S0006,59.0,17.478558292948538,25,0
S0007,51.73684210526316,18.681072135730084,19,0
S0008,56.08695652173913,22.467983369226577,23,0
S0009,57.34782608695652,22.83460033221549,23,0
S0010,56.72727272727273,18.06122344161082,22,0
S0011,56.19230769230769,22.04544257803727,26,0
S0012,64.2,17.986105748604952,25,0
S0013,59.19047619047619,22.736796273043936,21,0
S0014,60.84,22.95589975002795,25,0
S0015,58.083333333333336,17.924762242475502,24,0
S0016,61.80952380952381,23.58096488191068,21,0
S0017,69.45833333333333,24.726291528525323,24,0
S0018,68.42307692307692,20.894349622657465,26,0
S0019,58.31818181818182,24.08395309198215,22,0
S0020,59.36363636363637,20.49749219166057,22,0
S0021,53.958333333333336,16.80703570756492,24,0
S0022,60.80952380952381,20.879700782384422,21,0
S0023,64.43478260869566,17.487205938671334,23,0
S0024,70.23076923076923,22.41483025553875,26,0
S0025,68.3913043478261,17.288301694905464,23,0
S0026,61.0,18.26073781243642,23,0
S0027,67.68,22.193692797729717,25,0
S0028,63.03846153846154,18.68364154918579,26,0
S0029,59.7037037037037,19.957290579972202,27,0
S0030,63.65384615384615,24.538854590534267,26,0
S0031,57.56,20.24862135224684,25,0
S0032,58.95454545454545,21.40422137431522,22,0
S0033,68.05,19.964376168302223,20,0
S0034,60.666666666666664,20.859085533056387,24,0
S0035,60.53846153846154,25.498597246485183,26,0
S0036,61.0,18.341664773587667,25,0
S0037,59.17391304347826,22.36403804388775,23,0
S0038,73.48,15.921997362140216,25,1
S0039,68.0,18.841443681416774,23,0
S0040,62.04347826086956,24.669595310955632,23,0
S0041,69.68,19.058506412273413,25,0
S0042,68.375,20.07120476876177,24,0
S0043,59.48148148148148,22.712873967744457,27,0
S0044,60.95,22.229603306354676,20,0
S0045,63.5,24.33251792502018,22,0
S0046,61.88461538461539,20.028633349436348,26,0
S0047,55.041666666666664,24.463778311523395,24,0
S0048,60.166666666666664,15.677917637533223,24,0
S0049,54.310344827586206,20.08571533680424,29,0
S0050,66.625,24.54244327158831,24,0
S0051,65.95652173913044,17.736655062506124,23,0
S0052,65.43478260869566,22.586854759021634,23,0
S0053,67.12,18.72458277238775,25,0
S0054,60.6,23.09568198421059,20,0
S0055,65.0,21.613200475232926,24,0
S0056,59.791666666666664,21.174182734942892,24,0
S0057,63.23809523809524,22.722026234261683,21,0
S0058,61.34782608695652,24.833278068042954,23,0
S0059,59.34782608695652,20.541772729671372,23,0
S0060,63.31818181818182,23.222292991323915,22,0
S0061,61.63636363636363,22.308540868263787,22,0
S0062,61.25,22.21681697547466,24,0
S0063,64.76,21.81986862166376,25,0
S0064,62.23076923076923,22.111187561608162,26,0
S0065,67.52173913043478,21.324057189469432,23,0
S0066,55.68,23.169160537231384,25,0
S0067,63.142857142857146,17.967430852199527,21,0
S0068,63.608695652173914,20.91484711967854,23,0
S0069,52.421052631578945,20.57861832494453,19,0
S0070,58.05,22.31467536940892,20,0
S0071,61.76,21.62036077404815,25,0
S0072,61.793103448275865,24.24190484963828,29,0
S0073,63.958333333333336,20.829492399556656,24,0
S0074,61.25,25.78042735841686,24,0
S0075,65.69565217391305,23.022587293605806,23,0
S0076,61.6,20.53046516764781,25,0
S0077,56.92307692307692,22.813895900390317,26,0
S0078,63.61538461538461,23.73702074494931,26,0
S0079,66.51724137931035,23.39355938478912,29,0
S0080,62.291666666666664,24.66731540470836,24,0
S0081,61.130434782608695,26.943213596252402,23,0
S0082,61.38461538461539,20.734660687991827,26,0
S0083,72.2,19.594843575207282,20,0
S0084,67.25,25.80065722115385,24,0
S0085,60.36,22.82885600871552,25,0
S0086,68.17857142857143,19.67147506459369,28,0
S0087,56.81481481481482,18.37648379574168,27,0
S0088,61.59090909090909,21.606125874961375,22,0
S0089,68.45454545454545,23.054236823148916,22,0
S0090,63.583333333333336,24.04871264143145,24,0
S0091,65.28571428571429,23.164936557527753,21,0
S0092,61.91304347826087,20.836840284541182,23,0
S0093,64.42857142857143,25.071041918060423,21,0
S0094,62.03846153846154,22.329318429778855,26,0
S0095,58.7037037037037,20.48229031442081,27,0
S0096,60.95652173913044,20.474991976620835,23,0
S0097,66.43478260869566,22.086248471424522,23,0
S0098,67.92857142857143,20.162173184288136,28,0
S0099,59.57692307692308,24.977066404080485,26,0
S0100,74.53846153846153,17.738614983658156,26,1
S0101,61.9,21.875003759398172,20,0
S0102,57.63636363636363,21.846968743742078,22,0
S0103,61.51851851851852,22.472838940118137,27,0
S0104,59.291666666666664,24.01535589660456,24,0
S0105,63.578947368421055,23.78214967732845,19,0
S0106,60.111111111111114,21.128422951329245,27,0
S0107,60.0,22.181073012818832,28,0
S0108,55.56521739130435,21.61192029446317,23,0
S0109,60.5,24.052026941611384,26,0
S0110,61.84,20.665349420386452,25,0
S0111,63.4,22.57948921772442,25,0
S0112,57.12,18.72680787890273,25,0
S0113,58.608695652173914,20.330762920968233,23,0
S0114,68.21739130434783,20.871809003227142,23,0
S0115,58.0,21.3456403894651,23,0
S0116,58.869565217391305,20.25587310527288,23,0
S0117,61.56521739130435,22.29925821627364,23,0
S0118,58.44444444444444,18.195740361971026,18,0
S0119,67.42307692307692,20.06623647209028,26,0
S0120,63.65384615384615,21.49966010464781,26,0
S0121,68.0,23.54529575904606,22,0
S0122,60.74074074074074,24.69287127366706,27,0
S0123,61.26923076923077,21.030563838961033,26,0
S0124,66.51851851851852,20.13678297271013,27,0
S0125,59.81818181818182,19.174974672203707,22,0
S0126,64.73076923076923,21.939111545015113,26,0
S0127,57.21739130434783,23.579568431818892,23,0
S0128,64.65217391304348,22.21303608991837,23,0
S0129,62.083333333333336,20.19452501495666,24,0
S0130,56.27272727272727,22.069547686006956,22,0
S0131,55.56,23.750578940312174,25,0
S0132,65.3913043478261,21.231920930597923,23,0
S0133,64.92,21.590738755308955,25,0
S0134,58.4,21.52208168370337,20,0
S0135,72.5,20.06174678861555,20,0
S0136,56.69565217391305,20.107517324732726,23,0
S0137,60.05263157894737,22.244783868510055,19,0
S0138,58.75,14.85948679551508,24,0
S0139,68.86363636363636,21.17792079039699,22,0
S0140,57.458333333333336,19.938992095818218,24,0
S0141,56.27272727272727,19.324748056466028,22,0
S0142,51.0,20.275190093642358,25,0
S0143,61.708333333333336,24.091274203612045,24,0
S0144,71.75,21.237689932857823,20,0
S0145,60.04,18.47629111410982,25,0
S0146,56.34782608695652,23.429989903486305,23,0
S0147,56.4,19.39931270260195,25,0
S0148,62.76,19.64535568525039,25,0
S0149,66.61538461538461,21.930940559997733,26,0
S0150,62.27272727272727,24.452445234006312,22,0
S0151,60.54545454545455,19.788710761266728,22,0
S0152,58.583333333333336,21.13500427719619,24,0
S0153,62.61904761904762,23.745475759555106,21,0
S0154,56.12,21.549013898552293,25,0
S0155,56.0,23.81176179958132,23,0
S0156,61.73913043478261,20.918059599095333,23,0
S0157,63.241379310344826,17.628416938109968,29,0
S0158,67.88,24.133862793455453,25,0
S0159,63.92307692307692,19.715827300771483,26,0
S0160,60.48148148148148,22.810878596322905,27,0
S0161,62.041666666666664,18.48496255283494,24,0
S0162,58.04347826086956,24.551390001141325,23,0
S0163,61.38461538461539,23.864747093697723,26,0
S0164,60.583333333333336,20.25901123529685,24,0
S0165,58.035714285714285,24.562063706964313,28,0
S0166,66.27272727272727,20.28178121740419,22,0
S0167,68.24,18.890650244675715,25,0
S0168,62.958333333333336,23.92648008536488,24,0
S0169,62.27272727272727,20.265339441617616,22,0
S0170,60.81481481481482,20.242827860061443,27,0
S0171,63.84,23.348233337878046,25,0
S0172,67.4074074074074,20.11746133865431,27,0
S0173,62.76190476190476,19.302602834604357,21,0
S0174,56.59090909090909,21.038873523413727,22,0
S0175,54.47826086956522,20.6988571604095,23,0
S0176,61.13636363636363,19.59663589823872,22,0
S0177,61.72,20.927493877672024,25,0
S0178,66.69565217391305,20.583388674561412,23,0
S0179,61.473684210526315,21.808174871549202,19,0
S0180,58.0,22.622764501364784,20,0
S0181,61.476190476190474,19.95900560553819,21,0
S0182,65.04,25.009131665587002,25,0
S0183,47.791666666666664,18.084293369293327,24,0
