lecture_id,avg_engagement,attendance_rate,eng_norm,att_norm,learning_impact,effectiveness_score
1,53.88421380707496,0.756739909615085,0.8791006225107431,1.0,0.7310890415965768,0.8700632213691066
2,53.22560401631628,0.7543144022591779,0.0,0.8251710981823831,0.9327500072434707,0.585973701808618
3,53.63587977457733,0.7442078897933626,0.5476287773871154,0.09670063145656067,0.8561978796339917,0.5001757628258893
4,53.31997435075345,0.7428663033023405,0.12596384219356,0.0,0.8095304694689628,0.3118314372208409
5,53.61875385564466,0.7459901295496607,0.5247694057135842,0.22516324716887978,0.6546065241548528,0.4681797256791056
6,53.734433374844336,0.7526463262764632,0.679176368329539,0.7049373287418907,0.6545980821176709,0.6795705930630335
7,53.61489723381239,0.7496522948539638,0.5196216555569526,0.4891296032661379,0.6203292642588698,0.5430268410273201
8,53.343122102009275,0.7472952086553323,0.15686104843654727,0.3192324514011425,0.9031616510212273,0.45975171695297234
9,53.65727773406766,0.7450826121164438,0.5761903927356196,0.15975001482255943,0.8103902541101231,0.5154435538894341
10,53.79978203331776,0.7508952203020396,0.7664025941620669,0.5787188146115714,0.8478254022286159,0.7309822703340848
11,53.49992193598751,0.7523809523809524,0.366154675093783,0.685809360892099,0.6072045730035308,0.553056202996471
12,53.97478991596638,0.7448433919022154,1.0,0.14250718632967896,0.939468448256698,0.693991878195459
13,53.46560196560196,0.7512285012285013,0.3203449896718138,0.6027414745421418,0.8913549242801475,0.604813796164701
14,53.736218047428395,0.7513089005235603,0.6815585175196024,0.6085366004269761,0.6743186887373966,0.6548046022279917
